time,G(i),H_sun,T2m,WS10m,Int
20111104:1907,0,0,16.96,1.72,0
20111104:2007,0,0,16.21,1.72,0
20111104:2107,0,0,16.26,1.59,0
20111104:2207,0,0,15.9,1.59,0
20111104:2307,0,0,15,1.59,0
20111105:0007,0,0,14.13,1.66,0
20111105:0107,0,0,13.94,1.66,0
20111105:0207,0,0,13.83,1.66,0
20111105:0307,0,0,13.63,1.72,0
20111105:0407,230.6,9.5,13.82,1.59,0
20111105:0507,527.17,22.97,18.56,1.1,0
20111105:0607,766.76,35.73,21.76,0.76,0
20111105:0707,946.72,47.16,23.51,1.38,0
20111105:0807,1044.53,55.87,23.99,1.45,0
20111105:0907,1038.72,59.45,24.81,1.59,0
20111105:1007,959.68,56.22,25.31,1.93,0
20111105:1107,356.3,47.72,25.47,2.21,0
20111105:1207,477.02,36.39,25.52,2.55,0
20111105:1307,332.4,23.68,25.38,2.62,0
20111105:1407,156.88,10.25,24.78,2.14,0
20111105:1507,0,0,23.74,1.86,0
20111105:1607,0,0,21.82,1.17,0
20111105:1707,0,0,20.42,1.17,0
20111105:1807,0,0,18.39,1.66,0
20111105:1907,0,0,17.21,1.72,0
20111105:2007,0,0,15.93,1.79,0
20111105:2107,0,0,15.36,1.79,0
20111105:2207,0,0,14.91,1.86,0
20111105:2307,0,0,13.9,1.79,0
20111106:0007,0,0,13.45,1.79,0
20111106:0107,0,0,13.15,1.79,0
20111106:0207,0,0,12.84,1.86,0
20111106:0307,0,0,12.66,2,0
20111106:0407,221.99,9.39,12.89,1.93,0
20111106:0507,520.99,22.83,16.64,1.59,0
20111106:0607,765.24,35.56,21.08,1.72,0
20111106:0707,945.32,46.93,23.33,1.66,0
20111106:0807,797.64,55.59,24.82,0.83,0
20111106:0907,943.96,59.15,25.71,0.21,0
20111106:1007,958.34,55.96,26.51,0.9,0
20111106:1107,872.67,47.51,26.7,1.24,0
20111106:1207,653.77,36.24,26.54,1.59,0
20111106:1307,413.28,23.57,26.19,2.07,0
20111106:1407,143.14,10.16,25.36,2.28,0
20111106:1507,0,0,23.48,2.07,0
20111106:1607,0,0,21.54,1.93,0
20111106:1707,0,0,19.94,1.79,0
20111106:1807,0,0,18.48,1.79,0
20111106:1907,0,0,17.25,1.93,0
20111106:2007,0,0,16.46,1.93,0
20111106:2107,0,0,15.88,1.86,0
20111106:2207,0,0,15.02,1.79,0
20111106:2307,0,0,14.57,1.86,0
20111107:0007,0,0,14.21,1.86,0
20111107:0107,0,0,13.77,1.86,0
20111107:0207,0,0,13.33,1.86,0
20111107:0307,0,0,12.84,1.93,0
20111107:0407,239.47,9.28,12.8,1.86,0
20111107:0507,528.6,22.69,16.4,1.72,0
20111107:0607,769.87,35.38,20.25,1.59,0
20111107:0707,943.9,46.71,22.58,1.59,0
20111107:0807,1055.43,55.32,24.28,1.03,0
20111107:0907,1043.76,58.85,25.44,0.28,0
20111107:1007,915.46,55.7,26.41,1.24,0
20111107:1107,766.84,47.32,27.05,2.14,0
20111107:1207,544.1,36.1,27.24,2.9,0
20111107:1307,415.27,23.46,26.78,3.38,0
20111107:1407,147,10.09,25.58,3.24,0
20111107:1507,0,0,23.56,2.55,0
20111107:1607,0,0,21.87,2.14,0
20111107:1707,0,0,20.37,1.79,0
20111107:1807,0,0,18.59,1.59,0
20111107:1907,0,0,16.73,1.59,0
20111107:2007,0,0,15.16,1.66,0
20111107:2107,0,0,13.76,1.66,0
20111107:2207,0,0,13.42,1.52,0
20111107:2307,0,0,13.14,1.66,0
20111108:0007,0,0,12.64,1.66,0
20111108:0107,0,0,12.27,1.72,0
20111108:0207,0,0,11.93,1.79,0
20111108:0307,0,0,11.66,1.86,0
20111108:0407,225.11,9.16,11.93,1.79,0
20111108:0507,527.87,22.54,16.14,1.31,0
20111108:0607,763.17,35.2,20.41,0.97,0
20111108:0707,942.56,46.49,22.89,0.48,0
20111108:0807,1054.15,55.05,24.59,0.41,0
20111108:0907,1074.85,58.55,25.89,1.1,0
20111108:1007,1012.02,55.44,26.79,1.79,0
20111108:1107,850.59,47.12,27.21,2.48,0
20111108:1207,661.58,35.96,27.26,2.97,0
20111108:1307,412.29,23.36,26.8,3.17,0
20111108:1407,145.76,10.01,25.62,2.97,0
20111108:1507,0,0,23.69,2.21,0
20111108:1607,0,0,22.08,1.72,0
20111108:1707,0,0,20.25,1.59,0
20111108:1807,0,0,18.67,1.59,0
20111108:1907,0,0,17.74,1.79,0
20111108:2007,0,0,16.67,1.86,0
20111108:2107,0,0,15.9,1.93,0
20111108:2207,0,0,15.26,2,0
20111108:2307,0,0,14.45,2,0
20111109:0007,0,0,13.91,2,0
20111109:0107,0,0,13.46,1.93,0
20111109:0207,0,0,13.01,1.93,0
20111109:0307,0,0,12.71,2,0
20111109:0407,239.43,9.04,12.89,1.86,0
20111109:0507,525.85,22.4,17.15,1.45,0
20111109:0607,761.41,35.02,20.77,1.31,0
20111109:0707,942.25,46.27,23.15,1.52,0
20111109:0807,1046.1,54.77,24.84,1.52,0
20111109:0907,1067.15,58.26,26.01,1.17,0
20111109:1007,1005.69,55.19,26.74,0.9,0
20111109:1107,818,46.93,26.85,1.38,0
20111109:1207,551.04,35.82,27.13,2.34,0
20111109:1307,431.42,23.26,26.79,2.97,0
20111109:1407,156.63,9.94,25.64,2.62,0
20111109:1507,0,0,23.99,2.14,0
20111109:1607,0,0,22.27,1.72,0
20111109:1707,0,0,20.75,1.79,0
20111109:1807,0,0,19.67,1.93,0
20111109:1907,0,0,18.78,1.86,0
20111109:2007,0,0,17.99,1.79,0
20111109:2107,0,0,17.45,1.72,0
20111109:2207,0,0,16.94,1.72,0
20111109:2307,0,0,16.39,1.72,0
20111110:0007,0,0,15.95,1.59,0
20111110:0107,0,0,15.34,1.72,0
20111110:0207,0,0,14.61,1.79,0
20111110:0307,0,0,14.13,1.86,0
20111110:0407,224.73,8.92,14.19,1.79,0
20111110:0507,516.47,22.25,17.77,1.59,0
20111110:0607,754.52,34.84,20.85,2.14,0
20111110:0707,940.74,46.04,22.99,2.62,0
20111110:0807,1037.91,54.51,24.26,2.34,0
20111110:0907,994.03,57.98,24.71,1.86,0
20111110:1007,586.7,54.94,25.58,1.45,0
20111110:1107,308.34,46.75,26.03,1.03,0
20111110:1207,257.11,35.69,25.66,0.28,0
20111110:1307,190.14,23.17,25.6,0.55,0
20111110:1407,11.67,9.88,24.95,1.45,0
20111110:1507,0,0,23.59,1.45,0
20111110:1607,0,0,22.09,1.31,0
20111110:1707,0,0,20.62,1.31,0
20111110:1807,0,0,19.57,1.52,0
20111110:1907,0,0,19.02,1.86,0
20111110:2007,0,0,18.34,1.86,0
20111110:2107,0,0,17.63,1.86,0
20111110:2207,0,0,16.86,1.86,0
20111110:2307,0,0,16.04,1.79,0
20111111:0007,0,0,15.57,1.72,0
20111111:0107,0,0,15.17,1.72,0
20111111:0207,0,0,14.75,1.72,0
20111111:0307,0,0,14.54,1.79,0
20111111:0407,199.82,8.8,14.43,1.72,0
20111111:0507,509.95,22.11,18.36,1.52,0
20111111:0607,757.98,34.66,21.39,2.14,0
20111111:0707,939.21,45.82,23.46,2.62,0
20111111:0807,1002.99,54.24,25.02,2.21,0
20111111:0907,978.81,57.7,26.1,1.66,0
20111111:1007,347.48,54.7,26.87,1.03,0
20111111:1107,493.77,46.57,27.18,0.41,0
20111111:1207,87.49,35.56,27.12,0.55,0
20111111:1307,97.21,23.08,26.42,1.17,0
20111111:1407,156.77,9.82,25.34,2.07,0
20111111:1507,0,0,23.65,2.14,0
20111111:1607,0,0,22.07,2.07,0
20111111:1707,0,0,20.91,1.86,0
20111111:1807,0,0,19.58,1.79,0
20111111:1907,0,0,18.66,1.86,0
20111111:2007,0,0,17.74,1.93,0
20111111:2107,0,0,17.07,1.86,0
20111111:2207,0,0,16.48,1.86,0
20111111:2307,0,0,16.14,1.86,0
20111112:0007,0,0,15.6,2,0
20111112:0107,0,0,15.11,2,0
20111112:0207,0,0,14.54,2,0
20111112:0307,0,0,14,2,0
20111112:0407,211.4,8.68,13.84,1.93,0
20111112:0507,509.03,21.96,17.86,1.72,0
20111112:0607,757.53,34.48,21.49,2.14,0
20111112:0707,937.64,45.6,24.02,2.76,0
20111112:0807,1041.9,53.98,25.72,2.69,0
20111112:0907,1070.84,57.42,26.94,2.21,0
20111112:1007,1014.22,54.47,27.79,1.66,0
20111112:1107,873.19,46.4,28.23,1.17,0
20111112:1207,663.87,35.44,28.3,0.83,0
20111112:1307,409.57,22.99,27.9,0.83,0
20111112:1407,138.28,9.76,27.01,1.24,0
20111112:1507,0,0,25.04,1.66,0
20111112:1607,0,0,22.73,2.14,0
20111112:1707,0,0,20.82,2.28,0
20111112:1807,0,0,19.26,2.28,0
20111112:1907,0,0,18.37,2.14,0
20111112:2007,0,0,17.31,2.14,0
20111112:2107,0,0,16.37,2.21,0
20111112:2207,0,0,15.48,2.21,0
20111112:2307,0,0,14.78,2.28,0
20111113:0007,0,0,14.15,2.28,0
20111113:0107,0,0,13.69,2.28,0
20111113:0207,0,0,13.3,2.28,0
20111113:0307,0,0,12.96,2.28,0
20111113:0407,207.04,8.56,13.09,2.21,0
20111113:0507,506.83,21.81,17.01,2,0
20111113:0607,750.48,34.3,21.08,2.41,0
20111113:0707,930.03,45.38,23.61,2.9,0
20111113:0807,1034.76,53.72,25.44,2.69,0
20111113:0907,1062.9,57.15,26.75,2,0
20111113:1007,1007.76,54.24,27.64,1.31,0
20111113:1107,867.95,46.23,28.15,0.97,0
20111113:1207,659.71,35.32,28.31,1.17,0
20111113:1307,382.82,22.91,28.02,1.45,0
20111113:1407,62.44,9.71,27.2,1.24,0
20111113:1507,0,0,25.41,1.03,0
20111113:1607,0,0,23.01,1.45,0
20111113:1707,0,0,20.71,1.93,0
20111113:1807,0,0,18.87,2.14,0
20111113:1907,0,0,17.67,2.07,0
20111113:2007,0,0,16.5,2.07,0
20111113:2107,0,0,15.6,2.14,0
20111113:2207,0,0,14.86,2.14,0
20111113:2307,0,0,14.2,2.07,0
20111114:0007,0,0,13.63,2.07,0
20111114:0107,0,0,13.09,2.07,0
20111114:0207,0,0,12.59,2.07,0
20111114:0307,0,0,12.14,2.07,0
20111114:0407,197.07,8.43,12.12,2,0
20111114:0507,492.57,21.66,16.79,1.66,0
20111114:0607,748.54,34.12,21.21,1.93,0
20111114:0707,928.37,45.16,23.68,2.21,0
20111114:0807,1033.23,53.46,25.46,2,0
20111114:0907,1061.51,56.89,26.7,1.38,0
20111114:1007,1001.13,54.01,27.59,0.9,0
20111114:1107,867.61,46.06,28.08,0.69,0
20111114:1207,655.38,35.2,28.23,0.62,0
20111114:1307,403.94,22.84,27.94,0.55,0
20111114:1407,141.84,9.66,27.08,0.34,0
20111114:1507,0,0,25.13,0.83,0
20111114:1607,0,0,22.31,1.72,0
20111114:1707,0,0,20.13,2.14,0
20111114:1807,0,0,18.47,2.14,0
20111114:1907,0,0,17.37,2.07,0
20111114:2007,0,0,16.27,2,0
20111114:2107,0,0,15.32,2.07,0
20111114:2207,0,0,14.53,2.14,0
20111114:2307,0,0,13.88,2.21,0
20111115:0007,0,0,13.36,2.28,0
20111115:0107,0,0,12.96,2.28,0
20111115:0207,0,0,12.56,2.34,0
20111115:0307,0,0,12.19,2.34,0
20111115:0407,205.03,8.31,12.26,2.34,0
20111115:0507,512.27,21.51,16.53,2.14,0
20111115:0607,752.02,33.94,21,2.97,0
20111115:0707,932.87,44.95,23.74,4,0
20111115:0807,1031.67,53.21,25.55,4.14,0
20111115:0907,1061.15,56.63,26.87,3.86,0
20111115:1007,999.69,53.8,27.79,3.52,0
20111115:1107,862.19,45.9,28.3,3.1,0
20111115:1207,651.01,35.09,28.38,2.69,0
20111115:1307,401.67,22.77,28.04,2.41,0
20111115:1407,141.71,9.62,27.05,1.93,0
20111115:1507,0,0,25.05,1.79,0
20111115:1607,0,0,22.39,2.14,0
20111115:1707,0,0,20.03,2.41,0
20111115:1807,0,0,18.3,2.48,0
20111115:1907,0,0,17.02,2.41,0
20111115:2007,0,0,15.84,2.34,0
20111115:2107,0,0,14.79,2.41,0
20111115:2207,0,0,13.92,2.41,0
20111115:2307,0,0,13.14,2.41,0
20111116:0007,0,0,12.45,2.41,0
20111116:0107,0,0,11.82,2.41,0
20111116:0207,0,0,11.27,2.41,0
20111116:0307,0,0,10.85,2.48,0
20111116:0407,207.56,8.18,10.94,2.41,0
20111116:0507,506.79,21.36,15.3,2.14,0
20111116:0607,744.77,33.76,20.18,2.55,0
20111116:0707,918.8,44.73,23.3,3.86,0
20111116:0807,1023.11,52.96,25.36,3.79,0
20111116:0907,1059.63,56.37,26.8,3.31,0
20111116:1007,992.92,53.58,27.72,2.69,0
20111116:1107,856.64,45.75,28.14,2.07,0
20111116:1207,650.46,34.99,28.17,1.72,0
20111116:1307,401.91,22.7,27.74,1.79,0
20111116:1407,139.49,9.58,26.58,2.28,0
20111116:1507,0,0,24.01,2.83,0
20111116:1607,0,0,21.15,2.97,0
20111116:1707,0,0,18.96,2.69,0
20111116:1807,0,0,17.32,2.55,0
20111116:1907,0,0,16.38,2.55,0
20111116:2007,0,0,15.25,2.55,0
20111116:2107,0,0,14.31,2.55,0
20111116:2207,0,0,13.49,2.62,0
20111116:2307,0,0,12.82,2.62,0
20111117:0007,0,0,12.26,2.62,0
20111117:0107,0,0,11.78,2.62,0
20111117:0207,0,0,11.37,2.62,0
20111117:0307,0,0,10.99,2.62,0
20111117:0407,214.43,8.05,11.08,2.55,0
20111117:0507,508.69,21.21,15.08,2.34,0
20111117:0607,742.73,33.58,19.79,2.83,0
20111117:0707,923.32,44.52,22.79,3.72,0
20111117:0807,1028.52,52.72,24.8,3.66,0
20111117:0907,1058.13,56.12,26.22,3.1,0
20111117:1007,992.5,53.37,27.13,2.41,0
20111117:1107,861.28,45.6,27.6,1.86,0
20111117:1207,654.8,34.89,27.66,1.38,0
20111117:1307,404.81,22.64,27.25,1.17,0
20111117:1407,143.5,9.54,26.28,1.31,0
20111117:1507,0,0,24.24,1.66,0
20111117:1607,0,0,21.59,2.21,0
20111117:1707,0,0,19.43,2.34,0
20111117:1807,0,0,17.72,2.28,0
20111117:1907,0,0,16.72,2.34,0
20111117:2007,0,0,15.72,2.34,0
20111117:2107,0,0,15.21,2.41,0
20111117:2207,0,0,14.52,2.48,0
20111117:2307,0,0,14.08,2.41,0
20111118:0007,0,0,13.76,2.48,0
20111118:0107,0,0,13.72,2.48,0
20111118:0207,0,0,13.24,2.48,0
20111118:0307,0,0,12.94,2.55,0
20111118:0407,190.98,7.92,12.78,2.55,0
20111118:0507,498.83,21.06,15.24,2.48,0
20111118:0607,742.09,33.4,19.53,2.76,0
20111118:0707,921.52,44.31,22.37,3.38,0
20111118:0807,1033.8,52.48,24.48,3.03,0
20111118:0907,1057.66,55.88,26.02,2.21,0
20111118:1007,997.32,53.17,27.05,1.45,0
20111118:1107,865.88,45.46,27.6,0.9,0
20111118:1207,655.2,34.8,27.73,0.62,0
20111118:1307,407.71,22.58,27.51,0.62,0
20111118:1407,146.48,9.51,26.75,0.55,0
20111118:1507,0,0,24.82,0.62,0
20111118:1607,0,0,21.81,1.45,0
20111118:1707,0,0,19.52,2.07,0
20111118:1807,0,0,17.86,2.14,0
20111118:1907,0,0,16.84,2.07,0
20111118:2007,0,0,16.01,2.07,0
20111118:2107,0,0,15.21,2.14,0
20111118:2207,0,0,14.44,2.14,0
20111118:2307,0,0,13.7,2.14,0
20111119:0007,0,0,13.13,2.21,0
20111119:0107,0,0,12.7,2.14,0
20111119:0207,0,0,12.25,2.07,0
20111119:0307,0,0,11.96,2.14,0
20111119:0407,169.3,7.79,12,2,0
20111119:0507,483.05,20.91,16.02,1.66,0
20111119:0607,734.57,33.23,20.32,1.79,0
20111119:0707,913.44,44.1,22.82,1.93,0
20111119:0807,1019.24,52.24,24.64,1.38,0
20111119:0907,1049.31,55.64,26,0.69,0
20111119:1007,996.84,52.98,27.02,1.24,0
20111119:1107,865.34,45.32,27.61,2,0
20111119:1207,633.72,34.71,27.67,2.48,0
20111119:1307,418.59,22.52,27.26,2.83,0
20111119:1407,158.72,9.49,26.17,2.69,0
20111119:1507,0,0,24.2,2.07,0
20111119:1607,0,0,22.56,2.14,0
20111119:1707,0,0,20.77,2,0
20111119:1807,0,0,19.04,1.59,0
20111119:1907,0,0,17.47,1.59,0
20111119:2007,0,0,16.57,1.66,0
20111119:2107,0,0,15.96,1.66,0
20111119:2207,0,0,15.74,1.72,0
20111119:2307,0,0,15.45,1.79,0
20111120:0007,0,0,15.11,1.86,0
20111120:0107,0,0,14.61,1.93,0
20111120:0207,0,0,14.24,1.93,0
20111120:0307,0,0,13.74,2,0
20111120:0407,156.18,7.66,13.81,1.93,0
20111120:0507,468.06,20.75,16.15,1.93,0
20111120:0607,721.6,33.05,20,1.79,0
20111120:0707,905.37,43.89,22.88,2,0
20111120:0807,1010.34,52,24.48,1.24,0
20111120:0907,1048.8,55.41,25.68,0.48,0
20111120:1007,989.81,52.79,26.61,1.17,0
20111120:1107,723.76,45.19,27.21,2.14,0
20111120:1207,658.91,34.62,27.13,2.55,0
20111120:1307,267.5,22.47,26.65,2.76,0
20111120:1407,151.74,9.46,25.49,2.62,0
20111120:1507,0,0,23.74,2.28,0
20111120:1607,0,0,21.98,2.21,0
20111120:1707,0,0,20.44,1.86,0
20111120:1807,0,0,18.95,1.79,0
20111120:1907,0,0,17.84,1.79,0
20111120:2007,0,0,16.92,1.66,0
20111120:2107,0,0,16.14,1.59,0
20111120:2207,0,0,15.85,1.66,0
20111120:2307,0,0,15.32,1.72,0
20111121:0007,0,0,15.15,1.79,0
20111121:0107,0,0,14.63,1.86,0
20111121:0207,0,0,14.3,1.86,0
20111121:0307,0,0,14,1.86,0
20111121:0407,148.79,7.53,13.97,1.86,0
20111121:0507,462.17,20.6,16.14,1.79,0
20111121:0607,719.31,32.87,19.41,1.45,0
20111121:0707,890.73,43.68,22.01,1.72,0
20111121:0807,928.23,51.77,23.63,0.9,0
20111121:0907,869.63,55.18,24.94,0.34,0
20111121:1007,586.19,52.6,25.62,1.31,0
20111121:1107,528.96,45.06,26.11,2.28,0
20111121:1207,433.9,34.54,25.71,2.76,0
20111121:1307,408.07,22.43,25.17,3.03,0
20111121:1407,160.46,9.45,24.06,2.9,0
20111121:1507,0,0,22.4,2.41,0
20111121:1607,0,0,20.89,2.14,0
20111121:1707,0,0,19.86,1.79,0
20111121:1807,0,0,18.66,1.52,0
20111121:1907,0,0,17.71,1.45,0
20111121:2007,0,0,17.06,1.38,0
20111121:2107,0,0,16.51,1.38,0
20111121:2207,0,0,15.44,1.38,0
20111121:2307,0,0,15.15,1.45,0
20111122:0007,0,0,14.89,1.52,0
20111122:0107,0,0,14.66,1.66,0
20111122:0207,0,0,14.21,1.79,0
20111122:0307,0,0,13.85,1.79,0
20111122:0407,167.29,7.4,13.73,1.86,0
20111122:0507,480.7,20.45,16,1.79,0
20111122:0607,722.83,32.69,19.49,1.66,0
20111122:0707,908.92,43.48,21.96,1.59,0
20111122:0807,1007.84,51.55,23.64,0.76,0
20111122:0907,923.9,54.96,24.92,0.41,0
20111122:1007,706.9,52.43,25.88,1.38,0
20111122:1107,816.03,44.94,26.13,2.21,0
20111122:1207,655.61,34.47,26,2.76,0
20111122:1307,402.62,22.39,25.41,2.97,0
20111122:1407,147.09,9.43,24.38,2.9,0
20111122:1507,0,0,22.69,2.41,0
20111122:1607,0,0,21.16,2.28,0
20111122:1707,0,0,19.75,1.79,0
20111122:1807,0,0,18.38,1.38,0
20111122:1907,0,0,17.5,1.52,0
20111122:2007,0,0,17.1,1.52,0
20111122:2107,0,0,16.28,1.52,0
20111122:2207,0,0,15.52,1.52,0
20111122:2307,0,0,15.21,1.59,0
20111123:0007,0,0,14.47,1.59,0
20111123:0107,0,0,13.92,1.72,0
20111123:0207,0,0,13.43,1.72,0
20111123:0307,0,0,12.92,1.79,0
20111123:0407,168.16,7.26,13.11,1.72,0
20111123:0507,483.87,20.3,15.79,1.66,0
20111123:0607,726.08,32.52,19.37,1.59,0
20111123:0707,913.37,43.28,21.8,1.79,0
20111123:0807,1020.33,51.33,23.55,1.17,0
20111123:0907,1051.46,54.75,24.7,0.07,0
20111123:1007,987.91,52.25,25.59,1.1,0
20111123:1107,863.91,44.82,26.28,2,0
20111123:1207,659.82,34.4,26.16,2.69,0
20111123:1307,412.11,22.35,25.62,3.1,0
20111123:1407,144.43,9.43,24.62,3.1,0
20111123:1507,0,0,23.18,2.69,0
20111123:1607,0,0,21.45,2.28,0
20111123:1707,0,0,20.3,1.79,0
20111123:1807,0,0,19,1.38,0
20111123:1907,0,0,17.52,1.24,0
20111123:2007,0,0,17.13,1.38,0
20111123:2107,0,0,16.26,1.45,0
20111123:2207,0,0,15.78,1.52,0
20111123:2307,0,0,15.16,1.59,0
20111124:0007,0,0,14.73,1.72,0
20111124:0107,0,0,14.75,1.93,0
20111124:0207,0,0,14.27,1.86,0
20111124:0307,0,0,14.11,1.93,0
20111124:0407,180.52,7.13,13.97,1.86,0
20111124:0507,481.29,20.14,16.53,1.79,0
20111124:0607,729.3,32.35,19.57,1.72,0
20111124:0707,911.33,43.08,21.83,1.59,0
20111124:0807,1018.39,51.11,23.66,0.62,0
20111124:0907,1043.99,54.54,25.11,1.17,0
20111124:1007,924.9,52.09,25.76,2.21,0
20111124:1107,811.25,44.71,25.9,2.97,0
20111124:1207,652.11,34.33,26.06,3.31,0
20111124:1307,395.37,22.32,25.29,3.38,0
20111124:1407,151.35,9.42,24.51,3.17,0
20111124:1507,0,0,22.71,2.41,0
20111124:1607,0,0,21.09,2,0
20111124:1707,0,0,19.3,1.59,0
20111124:1807,0,0,17.64,1.38,0
20111124:1907,0,0,17.22,1.1,0
20111124:2007,0,0,16.88,0.97,0
20111124:2107,0,0,16.09,0.97,0
20111124:2207,0,0,15.29,0.97,0
20111124:2307,0,0,14.65,1.03,0
20111125:0007,0,0,14.3,1.03,0
20111125:0107,0,0,13.49,1.17,0
20111125:0207,0,0,13.26,1.17,0
20111125:0307,0,0,12.48,1.45,0
20111125:0407,170.08,7,12.01,1.66,0
20111125:0507,478.67,19.99,15.72,1.24,0
20111125:0607,722.82,32.17,19.68,0.97,0
20111125:0707,909.23,42.89,22.01,0.76,0
20111125:0807,1016.51,50.9,23.74,0.69,0
20111125:0907,1050.01,54.33,25.2,2.14,0
20111125:1007,993.03,51.93,26.01,3.1,0
20111125:1107,869.84,44.6,26.34,3.72,0
20111125:1207,660.34,34.27,26.14,4,0
20111125:1307,377.79,22.3,25.48,4,0
20111125:1407,149.23,9.42,24.3,3.66,0
20111125:1507,0,0,22.3,2.69,0
20111125:1607,0,0,20.62,2,0
20111125:1707,0,0,18.97,1.66,0
20111125:1807,0,0,17.33,1.31,0
20111125:1907,0,0,16.18,1.17,0
20111125:2007,0,0,15.6,1.1,0
20111125:2107,0,0,15.14,1.03,0
20111125:2207,0,0,14.6,1.03,0
20111125:2307,0,0,14.16,0.9,0
20111126:0007,0,0,13.71,0.83,0
20111126:0107,0,0,13.29,0.97,0
20111126:0207,0,0,12.81,1.03,0
20111126:0307,0,0,12.6,1.24,0
20111126:0407,164.5,6.86,12.52,1.38,0
20111126:0507,480.54,19.84,14.98,1.52,0
20111126:0607,726.02,32,18.2,1.38,0
20111126:0707,907.24,42.69,20.73,1.24,0
20111126:0807,1015.64,50.69,22.62,0.83,0
20111126:0907,1042.4,54.14,24.11,1.52,0
20111126:1007,992.23,51.78,25.15,2.41,0
20111126:1107,863.81,44.51,25.62,3.03,0
20111126:1207,652.38,34.22,25.54,3.38,0
20111126:1307,408.73,22.28,24.92,3.52,0
20111126:1407,144.59,9.42,23.68,3.38,0
20111126:1507,0,0,21.67,2.62,0
20111126:1607,0,0,19.94,2.14,0
20111126:1707,0,0,18.37,1.66,0
20111126:1807,0,0,16.89,1.24,0
20111126:1907,0,0,16.32,1.03,0
20111126:2007,0,0,15.66,0.9,0
20111126:2107,0,0,15.11,1.03,0
20111126:2207,0,0,13.77,1.03,0
20111126:2307,0,0,13.09,1.1,0
20111127:0007,0,0,12.52,1.24,0
20111127:0107,0,0,12.05,1.31,0
20111127:0207,0,0,11.58,1.52,0
20111127:0307,0,0,11.19,1.72,0
20111127:0407,174.16,6.73,10.67,1.79,0
20111127:0507,479.17,19.69,14,1.45,0
20111127:0607,723.82,31.83,17.81,1.38,0
20111127:0707,906.24,42.51,20.47,1.24,0
20111127:0807,1007.59,50.49,22.46,1.1,0
20111127:0907,1040.44,53.95,23.99,1.72,0
20111127:1007,985.91,51.63,25.05,2.69,0
20111127:1107,858.84,44.41,25.52,3.45,0
20111127:1207,656.57,34.17,25.4,3.86,0
20111127:1307,408.52,22.26,24.63,4.07,0
20111127:1407,146.93,9.43,23.16,3.66,0
20111127:1507,0,0,20.98,2.69,0
20111127:1607,0,0,19.15,2.14,0
20111127:1707,0,0,17.5,1.59,0
20111127:1807,0,0,15.77,1.31,0
20111127:1907,0,0,15.44,1.1,0
20111127:2007,0,0,14.42,1.1,0
20111127:2107,0,0,13.58,1.17,0
20111127:2207,0,0,13.29,1.17,0
20111127:2307,0,0,12.14,1.24,0
20111128:0007,0,0,11.49,1.45,0
20111128:0107,0,0,11.24,1.66,0
20111128:0207,0,0,10.67,1.79,0
20111128:0307,0,0,10.06,1.86,0
20111128:0407,154.26,6.6,9.83,1.86,0
20111128:0507,463.89,19.54,13.54,1.38,0
20111128:0607,711.4,31.67,17.89,1.24,0
20111128:0707,897.69,42.32,20.58,1.03,0
20111128:0807,1005.55,50.29,22.55,1.59,0
20111128:0907,1039.56,53.76,24.07,2.48,0
20111128:1007,991.67,51.49,25.11,3.38,0
20111128:1107,864.28,44.33,25.46,4.07,0
20111128:1207,657.71,34.12,25.06,4.41,0
20111128:1307,409.5,22.25,24.12,4.28,0
20111128:1407,145.67,9.44,22.62,3.72,0
20111128:1507,0,0,20.42,2.9,0
20111128:1607,0,0,18.55,2.34,0
20111128:1707,0,0,17.02,1.79,0
20111128:1807,0,0,15.41,1.45,0
20111128:1907,0,0,14.13,1.31,0
20111128:2007,0,0,13.34,1.24,0
20111128:2107,0,0,13.48,0.97,0
20111128:2207,0,0,13.5,0.55,0
20111128:2307,0,0,12.99,0.41,0
20111129:0007,0,0,12.49,0.48,0
20111129:0107,0,0,12.02,0.76,0
20111129:0207,0,0,11.24,0.97,0
20111129:0307,0,0,9.69,1.24,0
20111129:0407,167.69,6.46,8.37,1.52,0
20111129:0507,477.81,19.39,12.07,0.9,0
20111129:0607,720.27,31.5,16.92,1.17,0
20111129:0707,901.87,42.14,19.42,0.55,0
20111129:0807,1010.62,50.1,21.26,0.83,0
20111129:0907,1038.64,53.59,22.68,2.07,0
20111129:1007,984.09,51.36,23.58,2.97,0
20111129:1107,859.18,44.24,23.87,3.52,0
20111129:1207,653.62,34.08,23.63,3.72,0
20111129:1307,407.51,22.24,22.92,3.66,0
20111129:1407,149.43,9.46,21.55,3.31,0
20111129:1507,0,0,19.34,2.41,0
20111129:1607,0,0,17.61,1.79,0
20111129:1707,0,0,15.58,1.45,0
20111129:1807,0,0,14.14,1.24,0
20111129:1907,0,0,13.71,1.1,0
20111129:2007,0,0,12.13,1.38,0
20111129:2107,0,0,11.1,1.52,0
20111129:2207,0,0,10.79,1.59,0
20111129:2307,0,0,10.51,1.72,0
20111130:0007,0,0,9.98,1.86,0
20111130:0107,0,0,9.59,1.93,0
20111130:0207,0,0,9.54,2.14,0
20111130:0307,0,0,8.9,2.14,0
20111130:0407,167.41,6.33,8.56,2.21,0
20111130:0507,476.34,19.25,11.42,1.93,0
20111130:0607,717.68,31.34,16.14,1.86,0
20111130:0707,894.37,41.96,19.32,1.72,0
