time,G(i),H_sun,T2m,WS10m,Int
20100106:1807,0,0,17.12,1.72,0
20100106:1907,0,0,15.47,1.93,0
20100106:2007,0,0,14.33,2,0
20100106:2107,0,0,13.88,2,0
20100106:2207,0,0,13.53,1.93,0
20100106:2307,0,0,13.23,1.79,0
20100107:0007,0,0,12.73,1.86,0
20100107:0107,0,0,12.16,1.93,0
20100107:0207,0,0,11.98,2,0
20100107:0307,0,0,11.63,2.07,0
20100107:0407,65.3,2.38,11.4,2.14,0
20100107:0507,414.32,15.37,12.61,2.07,0
20100107:0607,674.07,27.65,16.97,1.93,0
20100107:0707,870.38,38.66,20.31,2.21,0
20100107:0807,994.25,47.39,22.69,2.21,0
20100107:0907,1037.99,52.23,24.25,1.79,0
20100107:1007,1006.65,51.67,25.42,2.21,0
20100107:1107,896.83,45.91,26.21,2.97,0
20100107:1207,714.5,36.62,26.51,3.52,0
20100107:1307,485.68,25.3,26.28,3.72,0
20100107:1407,221,12.85,25.34,3.52,0
20100107:1507,0,0,23.31,2.28,0
20100107:1607,0,0,21.48,1.66,0
20100107:1707,0,0,19.51,1.45,0
20100107:1807,0,0,17.58,1.52,0
20100107:1907,0,0,16.35,1.59,0
20100107:2007,0,0,14.91,1.72,0
20100107:2107,0,0,14,1.79,0
20100107:2207,0,0,13.67,1.79,0
20100107:2307,0,0,13.42,1.79,0
20100108:0007,0,0,12.95,1.93,0
20100108:0107,0,0,12.72,2.07,0
20100108:0207,0,0,12.06,2.21,0
20100108:0307,0,0,11.97,2.21,0
20100108:0407,52.55,2.32,11.45,2.28,0
20100108:0507,402.31,15.34,12.61,2.28,0
20100108:0607,673.33,27.64,16.4,2.41,0
20100108:0707,870.91,38.68,19.86,2.83,0
20100108:0807,988.48,47.46,22.32,2.9,0
20100108:0907,1039.5,52.35,24.01,2,0
20100108:1007,1008.15,51.82,25.16,1.24,0
20100108:1107,892.77,46.08,25.96,1.52,0
20100108:1207,717.02,36.78,26.38,2.14,0
20100108:1307,485.38,25.45,26.32,2.55,0
20100108:1407,234.26,12.99,25.64,2.41,0
20100108:1507,0,0,23.79,1.31,0
20100108:1607,0,0,21.85,1.24,0
20100108:1707,0,0,19.86,1.66,0
20100108:1807,0,0,18.05,2.21,0
20100108:1907,0,0,16.89,2.55,0
20100108:2007,0,0,16.01,2.34,0
20100108:2107,0,0,14.94,2.28,0
20100108:2207,0,0,14.29,2.21,0
20100108:2307,0,0,13.74,2.28,0
20100109:0007,0,0,13.53,2.34,0
20100109:0107,0,0,13.02,2.41,0
20100109:0207,0,0,12.87,2.41,0
20100109:0307,0,0,12.48,2.41,0
20100109:0407,10.69,2.28,12.61,2.55,0
20100109:0507,403.49,15.31,13.86,2.76,0
20100109:0607,667.02,27.63,16.84,2.9,0
20100109:0707,870.16,38.7,19.47,3.17,0
20100109:0807,988.91,47.53,22,3.24,0
20100109:0907,1046.87,52.47,23.76,2.55,0
20100109:1007,1009.58,51.98,24.91,1.52,0
20100109:1107,906.15,46.24,25.54,0.21,0
20100109:1207,708.87,36.94,25.9,0.69,0
20100109:1307,424.3,25.6,25.81,0.97,0
20100109:1407,185.02,13.13,25.07,0.48,0
20100109:1507,0,0,23.45,1.17,0
20100109:1607,0,0,20.95,2.28,0
20100109:1707,0,0,18.77,2.48,0
20100109:1807,0,0,17.16,2.34,0
20100109:1907,0,0,16.31,2.76,0
20100109:2007,0,0,15.38,2.48,0
20100109:2107,0,0,14.69,2.48,0
20100109:2207,0,0,14.05,2.48,0
20100109:2307,0,0,13.59,2.48,0
20100110:0007,0,0,13.01,2.48,0
20100110:0107,0,0,12.32,2.41,0
20100110:0207,0,0,11.72,2.41,0
20100110:0307,0,0,11.35,2.48,0
20100110:0407,11.67,2.23,11.13,2.55,0
20100110:0507,387.04,15.28,12.83,2.34,0
20100110:0607,661.89,27.63,17.17,2.55,0
20100110:0707,869.34,38.73,20.15,3.17,0
20100110:0807,995.53,47.6,22.57,3.24,0
20100110:0907,1054.09,52.59,24.19,2.62,0
20100110:1007,970.83,52.14,25.26,2,0
20100110:1107,329.65,46.42,25.84,1.59,0
20100110:1207,587.85,37.1,26,1.45,0
20100110:1307,425.8,25.75,25.6,1.52,0
20100110:1407,127.92,13.27,24.82,1.86,0
20100110:1507,0,0,23.14,2.07,0
20100110:1607,0,0,20.86,2.34,0
20100110:1707,0,0,18.67,2.34,0
20100110:1807,0,0,16.82,2.34,0
20100110:1907,0,0,15.47,2.41,0
20100110:2007,0,0,14.28,2.41,0
20100110:2107,0,0,13.36,2.48,0
20100110:2207,0,0,12.57,2.48,0
20100110:2307,0,0,12.01,2.55,0
20100111:0007,0,0,11.61,2.62,0
20100111:0107,0,0,11.12,2.55,0
20100111:0207,0,0,10.69,2.55,0
20100111:0307,0,0,10.21,2.55,0
20100111:0407,0,0,9.76,2.55,0
20100111:0507,389.5,15.26,11.53,2.28,0
20100111:0607,661.21,27.63,16.77,2.28,0
20100111:0707,863.33,38.77,20.38,2.76,0
20100111:0807,989.59,47.68,22.9,2.9,0
20100111:0907,1041.47,52.73,24.49,2.41,0
20100111:1007,1012.26,52.31,25.54,1.93,0
20100111:1107,904.48,46.59,26.12,1.45,0
20100111:1207,717.98,37.27,26.23,1.24,0
20100111:1307,487.78,25.91,25.91,1.17,0
20100111:1407,229.96,13.41,25.01,1.31,0
20100111:1507,0,0,23.21,1.45,0
20100111:1607,0,0,20.73,1.93,0
20100111:1707,0,0,18.35,2.28,0
20100111:1807,0,0,16.37,2.41,0
